title,artist,loudness,peak_loudness,avg_max_loudness,loudness_diff_averages,loudness_labels
I Didn't Mean To,Casual,-11.197000,-6.384,-13.530,-2.333,medium
Soul Deep,The Box Tops,-9.843000,-5.349,-12.215,-2.372,medium
Amor De Cabaret,Sonora Santanera,-9.689000,-5.564,-11.004,-1.315,medium
Something Girls,Adam Ant,-9.013000,-4.048,-10.526,-1.513,medium
Face the Ashes,Gob,-4.501000,-1.615,-6.434,-1.933,loud
The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,-9.323000,-4.782,-13.514,-4.191,medium
Keepin It Real (Skit),Rated R,-17.302000,-8.085,-23.227,-5.925,quiet
Drop of Rain,Tweeterfriendly Music,-11.642000,-5.152,-15.233,-3.591,medium
Pink World,Planet P Project,-13.496000,-9.947,-16.181,-2.685,medium
Insatiable (Instrumental Version),Clp,-6.697000,-1.601,-10.934,-4.237,loud
Young Boy Blues,JennyAnyKind,-10.021000,-6.341,-11.822,-1.801,medium
The Urgency (LP Version),Wayne Watson,-7.545000,-2.999,-10.385,-2.840,medium
La Culpa,Andy Andy,-6.632000,-3.014,-7.618,-0.986,loud
Auguri Cha Cha,Bob Azzam,-7.750000,-3.119,-9.670,-1.920,medium
Tonight Will Be Alright,Lionel Richie,-8.346000,-4.044,-10.211,-1.865,medium
Floating,Blue Rodeo,-8.576000,-2.494,-12.977,-4.401,medium
High Tide,Richard Souther,-16.110000,-10.325,-19.672,-3.562,quiet
Sohna Nee Sohna Data,Faiz Ali Faiz,-8.032000,-2.823,-9.873,-1.841,medium
Caught In A Dream,Tesla,-5.271000,-1.269,-7.950,-2.679,loud
Synthetic Dream,lextrical,-6.787000,-2.249,-9.338,-2.551,loud
Broken-Down Merry-Go-Round,Jimmy Wakely,-15.221000,-8.507,-18.887,-3.666,quiet
Kassie Jones,Alice Stuart,-8.514000,-2.138,-12.604,-4.090,medium
Setanta matins,Elena,-8.050000,-3.534,-10.954,-2.904,medium
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,-4.264000,-1.376,-6.080,-1.816,loud
James (Hold The Ladder Steady),SUE THOMPSON,-12.332000,-7.371,-14.227,-1.895,medium
Made Like This (Live),Five Bolt Main,-5.908000,-3.069,-7.682,-1.774,loud
